placement,display_name,placement_type,campaign_name,campaign_channel_type,impressions,cost
"UCJZWYrX3FTpK_TVAF_8NU3Q","GENER8ION","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",197,1.49
"UCzXwjTI6c6mVn6oui_p6oiw","SMii7Y","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",236,1.49
"UC3HtAuO6691STRIhf6u5dVw","Freaks Ent.","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",206,1.48
"UCk_yrKoKi74gKCCWVRyvwYw","World of Io - Ioverse","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",221,1.48
"UC-XpWwkKCLxaVNoIXpIegmQ","Kiki Chanel","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",198,1.48
"UCnM02drQP-dF7WMgtJHR4Xw","Mr. Nightmare","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",210,1.47
"UChEYVadfkMCfrKUi6qr3I1Q","Kodak Black","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",220,1.45
"UCupvZG-5ko_eiXAupbDfxWw","CNN","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",262,1.45
"UCPr3T20IPZ03gU9gZ2BwM5g","The Click","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",241,1.45
"UCzfyYtgvkx5mLy8nlLlayYg","Vivziepop","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",223,1.44
"UC63anZxfVGHUEmfBAf5w7pw","CaseOh","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",253,1.44
"UCz95kD99JQ8sRez11-COg5g","Reggie","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",231,1.44
"UCERUmrDh9hmqEXBsnYFNTIA","DashieGames","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",237,1.43
"UCyNUmnz9m3hbXbVeH23FLDg","Swimwear & Underwear","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",219,1.43
"UCbp9MyKCTEww4CxEzc_Tp0Q","Stokes Twins","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",188,1.43
"UC9CuvdOVfMPvKCiwdGKL3cQ","GameGrumps","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",221,1.42
"UCadMpX28EMXTCYYBg1DUJIg","Skeeter Jean","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",233,1.42
"UCaDkWNQDehTPsKlCBwcgSjQ","YB Vault","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",254,1.41
"UCJjSDX-jUChzOEyok9XYRJQ","Jubilee","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",187,1.41
"UCG4yz4wtp2E5S62L06yqC9w","ИЛЬДАР АВТО-ПОДБОР","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",221,1.4
"UCn7Ef9w8dTXyk9kNgti9aWw","BizarreBub","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",215,1.4
"UCx_Qyb3447P9bBaT4o8QSjQ","LilAggy","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",246,1.39
"UCXYRdIXDdeZIf816EWAr5zQ","Macklemore","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",208,1.37
"UCWTSOOYG0cfkUqsl-UUxVCA","Film Cooper","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",190,1.36
"UCDE5Ezmxq1bNVak4lmkpCMw","Epitaph Records","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",178,1.35
"UCxEct2HUBYj_mt4t7qR9UYg","BondiRescue","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",211,1.34
"UC7_WiJnJxpm4MRNesRttzWg","Reel Rejects","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",189,1.34
"UCkZqulV4hovQ88Oi0htrjFA","Alt Vault","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",201,1.34
"UClFmbs3Ox9z0iPOW8rkxmOg","Spilling The Milk","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",210,1.33
"UC7bxFmhgSQe4aMAwIw-lzsQ","mattyballz","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",210,1.33
"UCAiXTBMJdbCLlWzJbWATYSw","Lingerie Fighting Championships","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",208,1.33
"UCg7lal8IC-xPyKfgH4rdUcA","djvlad","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",211,1.33
"UCAM2fyCjEdROyELretVTiiw","HopeScope","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",180,1.33
"UCy06jHRS_82N2i5v1YL7glQ","Cody & Ko","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",180,1.31
"UCwV_0HmQkRrTcrReaMxPeDw","loltyler1","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",171,1.31
"UCKk076mm-7JjLxJcFSXIPJA","outsidexbox","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",200,1.3
"UCoNCiBqr3p5ZRCGybtFRcPg","ItalianBach","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",177,1.3
"UCeBPTBz1oRnsWsUBnKNNKNw","Joe Bart Games","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",201,1.29
"UCYWrFKvV9FwgUxTURL6fiZw","Fashion Feed","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",165,1.28
"UCgvYAzU9Xp5N2jEITv0ZRPQ","NOSAREXFAMTV","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",194,1.28
"UCrTNhL_yO3tPTdQ5XgmmWjA","RedLetterMedia","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",197,1.28
"UCC5kum96eeAdJGfizULP4lw","Germany's Next Topmodel","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",157,1.27
"UCypAoMCRQuNL2RBwy-x4oQg","Uchenna Mbunabo Tv","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",206,1.26
"UCGRC6hm8mD8WqeY0auwrCrQ","Uche Montana TV","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",174,1.25
"UCrPseYLGpNygVi34QpGNqpA","Ludwig","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",193,1.25
"UC0aanx5rpr7D1M7KCFYzrLQ","Shoe0nHead","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",191,1.24
"UC4PQqjGczpgmqbpicKjkwvw","Druski","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",186,1.22
"UCgKkNPU2Ib7_TcyAl8M2S-w","Warner Bros. Entertainment","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",153,1.22
"UCQe7wB0o_cZgv1miyYB9TMA","Hustler Casino Live","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",187,1.21
"UCoEj4uRzynPXEEegNqMnJVw","HauteLeMode","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",160,1.21
"UCC0UCpm3OR81O5aackY9NlA","i. POLEBOTE","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",181,1.21
"UCJquYOG5EL82sKTfH9aMA9Q","Rick Beato","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",170,1.21
"UCnxQ8o9RpqxGF2oLHcCn9VQ","fantano","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",181,1.21
"UCOAHgaVjyUjFtxhgCAQ_vAg","SideQuest Drew","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",195,1.2
"UC1yBKRuGpC1tSM73A0ZjYjQ","The Young Turks","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",229,1.2
"UCIEi8iWecjIUaewTBeXCu-g","9jaFanx","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",189,1.2
"UC0M0rxSz3IF0CsSour1iWmw","Cinemassacre","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",193,1.2
"UCijVIIfFzspulKc7yWA2Qhg","Friends","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",167,1.2
"UCmGSJVG3mCRXVOP4yZrU1Dw","Johnny Harris","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",168,1.19
"UCU6cE7pdJPc6DU2jSrKEsdQ","Drake - Topic","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",192,1.19
"UCzrh2s9Vu9wUBf2Y2iIYcgA","Ink Master","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",160,1.19
"UCaxOQZrF5llUMp-JjesUz1A","Lil Durk","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",194,1.19
"UCax6yhRcu4YsquCJiRB_vwQ","Bonus SKY","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",180,1.19
"UC11RIQQg3bSkGtnpx9dom5g","ChemicalBrothersVEVO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",161,1.16
"UClQ3NafOy_42dJ0toK3QUKw","Stay Wild","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",172,1.16
