keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,flag_type,flag_severity,flag_detail,impressions,clicks,cost,primary_conversions,primary_cpa,effective_conversions,effective_cpa,effective_roas,break_even_cpa,break_even_roas,primary_kpi,is_core_term,quality_score,campaign_bidding_strategy_type,campaign_target_cpa,campaign_target_roas,efficiency_severity_tier,efficiency_severity_label,efficiency_severity_ratio,efficiency_impact,excess_spend,missing_conversion_value
elektroinstallateur temporär,PHRASE,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,1457418674783,UNPROFITABLE,High,"Primary CPA $576.21 > break-even $75.00. Tier 3 severe overage, excess spend $25.81. Converting (0.05) but loses money per acquisition.",66,13,29.67,0.05,576.21,0.05,576.21,0.00,75.00,,cpa,false,8,MAXIMIZE_CONVERSIONS,45.65,0.00,3,severe,7.68,25.81,25.81,
strassenbau jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,AG | RSA | Strassenbauer,23478262294,193437338762,5309773897,UNPROFITABLE,High,"Primary CPA $2138.10 > break-even $75.00. Tier 3 severe overage, excess spend $19.51. Converting (0.01) but loses money per acquisition.",176,19,20.22,0.01,2138.10,0.01,2138.10,0.00,75.00,,cpa,true,7,MAXIMIZE_CONVERSIONS,115.57,0.00,3,severe,28.51,19.51,19.51,
heizungsmonteur stellenangebote,BROAD,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,AG | RSA | Heizungsinstallateur KW Testing,23473611323,194378322893,303135343649,UNPROFITABLE,High,"Primary CPA $114.33 > break-even $75.00. Tier 2 material overage, excess spend $39.33. Converting (1.00) but loses money per acquisition.",541,71,114.33,1.00,114.33,1.00,114.33,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,106.35,0.00,2,material,1.52,39.33,39.33,
arbeit maler,BROAD,EX | 26 | CH | SEARCH | LEAD | Maler,AG | RSA | Maler,6503042592,193358511562,297337521976,UNPROFITABLE,High,"Primary CPA $94.08 > break-even $75.00. Tier 1 watch overage, excess spend $19.08. Converting (1.00) but loses money per acquisition.",600,59,94.08,1.00,94.08,1.00,94.08,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,73.47,0.00,1,watch,1.25,19.08,19.08,
gipser stelle,BROAD,EX | 25 | CH | SEARCH | LEAD | Gipser,AG | RSA | Gipser,23468556621,194724430511,360873460690,UNPROFITABLE,High,"Primary CPA $108.87 > break-even $75.00. Tier 1 watch overage, excess spend $18.05. Converting (0.53) but loses money per acquisition.",358,40,58.03,0.53,108.87,0.53,108.87,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,81.44,0.00,1,watch,1.45,18.05,18.05,
heizungsinstallateur jobs,BROAD,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,AG | RSA | Heizungsinstallateur,23473611323,194933381034,314512095563,UNPROFITABLE,High,"Primary CPA $92.28 > break-even $75.00. Tier 1 watch overage, excess spend $17.28. Converting (1.00) but loses money per acquisition.",647,52,92.28,1.00,92.28,1.00,92.28,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,106.35,0.00,1,watch,1.23,17.28,17.28,
gipser freie stellen,BROAD,EX | 25 | CH | SEARCH | LEAD | Gipser,AG | RSA | Gipser,23468556621,194724430511,496859934688,UNPROFITABLE,High,"Primary CPA $75.39 > break-even $75.00. Tier 1 watch overage, excess spend $0.59. Converting (1.50) but loses money per acquisition.",762,66,113.09,1.50,75.39,1.50,75.39,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,81.44,0.00,1,watch,1.01,0.59,0.59,
cnc mechaniker,PHRASE,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,AG | RSA | Polymechaniker | KW Testing,20702215351,191651580382,312018691155,UNPROFITABLE,High,"Primary CPA $77.34 > break-even $75.00. Tier 1 watch overage, excess spend $0.06. Converting (0.03) but loses money per acquisition.",34,2,2.03,0.03,77.34,0.03,77.34,0.00,75.00,,cpa,false,3,MAXIMIZE_CONVERSIONS,113.95,0.00,1,watch,1.03,0.06,0.06,
hilfsarbeiter bau,BROAD,EX | 26 | CH | SEARCH | LEAD | Bauarbeiter,AG | RSA | Bauarbeiter,23473587776,194925305514,304700265831,TIER_DEGRADED,Medium,hilfsarbeiter bau shifted from INSUFFICIENT_DATA to UNPROFITABLE,554,71,96.70,0.02,4529.70,0.02,4529.70,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,61.46,0.00,3,severe,60.40,95.10,95.10,
offene stellen strassenbau,BROAD,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,AG | RSA | Strassenbauer,23478262294,193437338762,298317240901,TIER_DEGRADED,Medium,offene stellen strassenbau shifted from INSUFFICIENT_DATA to UNPROFITABLE,461,48,76.65,0.05,1543.19,0.05,1543.19,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,115.57,0.00,3,severe,20.58,72.92,72.92,
gipser job,BROAD,EX | 25 | CH | SEARCH | LEAD | Gipser,AG | RSA | Gipser,23468556621,194724430511,303135331889,TIER_DEGRADED,Medium,gipser job shifted from INSUFFICIENT_DATA to UNPROFITABLE,607,51,96.68,0.50,193.36,0.50,193.36,0.00,75.00,,cpa,true,3,MAXIMIZE_CONVERSIONS,81.44,0.00,3,severe,2.58,59.18,59.18,
elektroinstallateur temporär,PHRASE,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,1457418674783,TIER_DEGRADED,Medium,elektroinstallateur temporär shifted from OVER_TARGET to UNPROFITABLE,66,13,29.67,0.05,576.21,0.05,576.21,0.00,75.00,,cpa,false,8,MAXIMIZE_CONVERSIONS,45.65,0.00,3,severe,7.68,25.81,25.81,
strassenbau jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,AG | RSA | Strassenbauer,23478262294,193437338762,5309773897,TIER_DEGRADED,Medium,strassenbau jobs shifted from INSUFFICIENT_DATA to UNPROFITABLE,176,19,20.22,0.01,2138.10,0.01,2138.10,0.00,75.00,,cpa,true,7,MAXIMIZE_CONVERSIONS,115.57,0.00,3,severe,28.51,19.51,19.51,
